Daytime/evening attendance,Previous qualification (grade),Mother's qualification,Father's qualification,Admission grade,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,2.909,2,2,3.391,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,6.364,1,1,4.773,0,0,0,1,0,1,0,0,6,6,6,7.0,0,6,6,6,6.833,1
1,2.909,3,3,3.164,0,0,0,1,0,1,0,0,6,0,0,0.0,0,6,0,0,0.0,0
1,2.909,3,3,2.691,0,0,1,0,0,1,0,0,6,8,6,6.714,0,6,10,5,6.2,1
0,0.909,3,3,4.682,0,0,1,0,0,3,0,0,6,9,5,6.167,0,6,6,6,6.5,1
0,3.918,3,3,2.255,0,1,1,1,0,3,0,0,5,10,5,5.929,0,5,17,5,5.75,1
1,4.727,2,3,3.491,0,0,1,0,1,1,0,0,7,9,7,6.65,0,8,8,8,7.173,1
1,2.636,3,3,2.1,0,0,0,1,0,1,0,0,5,5,0,0.0,0,5,5,0,0.0,0
1,4.273,1,1,3.573,0,0,1,0,1,1,1,0,6,8,6,6.938,0,6,7,6,7.071,1
1,4.364,1,2,3.0,0,1,0,0,0,1,0,0,6,9,5,5.7,0,6,14,2,6.75,0
1,4.455,3,2,3.691,0,0,1,0,0,1,0,0,6,6,6,6.167,0,6,7,5,7.1,1
1,4.182,2,3,2.664,0,0,1,0,1,1,0,0,8,8,7,6.607,0,8,8,7,6.607,1
1,3.909,2,3,3.655,0,0,1,0,0,1,0,0,6,6,0,0.0,0,6,0,0,0.0,0
1,1.818,1,1,1.982,0,0,1,0,1,1,0,0,6,7,6,5.286,0,6,8,5,5.5,1
1,5.364,3,3,4.282,0,0,1,0,1,1,0,0,5,7,4,6.625,0,5,5,5,6.0,1
1,3.364,2,3,2.791,0,0,1,0,0,1,0,0,6,6,5,6.6,0,6,7,0,0.0,0
1,4.091,2,1,3.391,0,0,1,0,0,1,0,0,7,8,7,6.653,0,8,8,8,7.272,1
1,4.273,1,2,4.209,0,0,1,0,0,1,0,0,5,8,4,6.25,0,5,8,4,6.125,1
1,2.909,1,1,2.755,0,0,1,0,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,4.727,2,2,3.227,0,0,1,0,0,1,0,0,8,12,7,6.429,0,8,12,7,6.429,1
1,3.182,1,3,2.264,0,0,1,0,1,1,0,0,6,8,6,6.688,0,6,7,6,6.143,1
1,3.273,2,2,3.082,0,0,1,0,0,1,0,0,7,8,6,6.648,0,8,9,7,7.057,1
1,2.273,2,3,2.4,0,0,1,0,0,1,0,0,6,9,6,5.688,0,6,9,6,6.643,1
1,4.091,2,1,2.918,0,0,1,0,0,1,0,0,5,6,5,6.0,0,5,6,5,6.167,1
1,3.182,3,1,3.636,0,0,1,1,0,1,0,2,6,7,6,6.417,0,6,9,4,6.7,1
0,4.364,2,1,4.045,0,0,1,0,0,1,0,0,6,6,6,6.333,0,6,8,6,7.188,1
0,3.636,1,3,3.764,0,0,1,1,0,2,0,0,5,6,5,6.2,0,5,9,5,6.714,1
1,3.636,3,3,1.136,0,1,0,1,0,3,0,0,7,7,0,0.0,0,7,7,1,5.0,0
1,3.918,3,3,3.527,0,0,1,1,0,3,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,4.545,3,3,2.991,0,0,1,0,0,3,0,0,5,10,1,5.0,0,5,8,2,6.0,0
0,2.727,2,2,2.173,0,0,1,0,0,3,0,0,5,8,5,5.5,0,5,5,5,5.8,1
1,2.727,1,1,2.727,0,1,0,0,0,1,1,2,6,13,3,5.833,1,6,11,3,6.0,0
1,3.273,1,1,2.827,0,1,1,0,0,1,0,0,6,6,4,6.375,0,5,5,0,0.0,0
1,3.909,1,2,2.764,0,0,1,0,0,1,0,0,5,5,5,7.4,0,5,5,5,7.9,1
1,1.182,1,1,0.964,1,0,1,0,0,1,0,0,7,9,5,6.964,0,8,9,7,7.171,1
1,2.727,1,3,2.855,0,0,0,0,0,1,0,0,6,7,4,6.5,0,6,7,5,6.9,0
0,3.918,3,3,1.791,0,0,1,0,0,2,0,0,5,0,0,0.0,0,5,0,0,0.0,0
1,3.636,2,2,3.418,0,0,1,0,0,1,0,0,6,6,6,5.833,0,6,8,5,6.6,1
1,3.818,3,2,3.855,0,0,1,0,1,1,0,0,7,8,6,6.758,0,8,9,7,6.886,1
0,3.636,1,2,3.945,0,0,1,0,1,1,0,3,6,6,6,5.75,2,6,7,6,6.643,1
1,4.455,3,3,3.282,0,0,1,0,1,1,0,0,6,7,5,6.167,0,6,7,6,6.417,1
1,3.636,2,3,2.136,0,0,1,0,1,2,0,0,6,6,6,6.833,0,6,6,6,7.083,1
1,7.0,3,3,6.3,0,0,1,0,0,1,0,0,5,7,5,7.357,0,5,5,5,7.9,1
0,3.636,3,3,2.727,0,0,1,0,0,2,0,0,5,12,5,5.3,0,5,10,5,5.5,0
1,3.636,1,2,3.555,0,0,1,0,0,1,0,0,7,9,7,6.522,0,8,10,8,6.798,1
1,3.636,1,1,3.636,0,0,1,0,0,3,0,0,6,10,0,0.0,0,6,6,0,0.0,0
1,3.545,1,1,5.936,0,0,1,0,0,2,0,0,6,9,5,6.5,5,11,13,10,6.45,0
1,4.636,3,3,4.527,0,0,1,0,0,1,0,0,8,8,8,7.468,0,8,8,8,7.468,1
1,3.182,2,2,2.264,0,0,1,0,0,1,0,0,7,8,6,6.567,0,8,12,7,6.111,1
1,3.636,2,1,3.809,0,0,1,0,1,1,0,3,6,7,6,6.0,2,6,7,6,6.0,1
1,3.918,1,1,3.273,0,0,1,1,0,2,0,2,7,10,5,5.95,1,8,10,5,5.5,0
1,4.455,2,2,3.473,0,0,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1
1,3.636,2,3,3.636,0,0,1,1,0,2,0,0,6,8,6,6.286,0,6,7,6,6.214,1
1,3.182,1,3,2.736,0,1,1,1,0,1,0,0,5,8,5,5.6,0,5,10,4,5.375,0
1,5.455,3,2,3.709,0,0,1,1,0,2,0,0,7,8,7,5.987,0,8,8,8,6.875,1
1,4.636,2,2,4.164,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0
1,2.545,3,3,1.973,0,0,1,1,0,1,0,0,6,12,3,5.833,0,6,12,1,6.0,0
1,4.727,3,3,3.9,0,0,1,1,0,1,0,0,6,8,6,6.167,0,6,11,3,6.167,1
1,2.727,2,2,2.318,0,1,1,1,0,1,0,0,5,8,3,5.167,0,5,11,3,5.429,0
1,1.455,2,3,1.455,0,0,1,1,1,1,0,0,6,8,4,5.25,0,6,11,1,5.5,0
1,2.818,1,2,2.755,0,1,1,1,1,1,0,0,6,6,6,6.833,0,6,6,6,6.667,1
1,5.455,3,3,3.709,0,0,1,1,1,1,0,0,7,7,7,7.421,0,8,9,8,7.528,1
0,2.727,3,3,2.455,0,0,1,1,0,2,0,0,6,8,6,6.0,0,6,6,6,5.833,1
1,2.182,2,2,1.836,0,0,1,1,0,1,0,0,6,8,5,6.1,0,6,7,5,6.1,0
0,4.545,1,1,5.973,0,0,1,1,0,2,0,0,1,1,0,0.0,0,5,0,0,0.0,0
